SID,SEASON,NAME,LAT,LON,ISO_TIME
1980094N02179,1980,CARMEN,2.3,178.5,1980-04-03 00:00:00
1980094N02179,1980,CARMEN,2.5,178.8,1980-04-03 03:00:00
1980094N02179,1980,CARMEN,2.8,179.1,1980-04-03 06:00:00
1980094N02179,1980,CARMEN,3.0,179.5,1980-04-03 09:00:00
1980094N02179,1980,CARMEN,3.3,179.9,1980-04-03 12:00:00
1980094N02179,1980,CARMEN,3.6,180.3,1980-04-03 15:00:00
1980094N02179,1980,CARMEN,3.9,180.8,1980-04-03 18:00:00
1980094N02179,1980,CARMEN,4.3,181.2,1980-04-03 21:00:00
1980094N02179,1980,CARMEN,4.7,181.4,1980-04-04 00:00:00
1980094N02179,1980,CARMEN,5.3,181.3,1980-04-04 03:00:00
1980094N02179,1980,CARMEN,6.0,181.2,1980-04-04 06:00:00
1980094N02179,1980,CARMEN,6.6,181.2,1980-04-04 09:00:00
1980094N02179,1980,CARMEN,7.2,181.0,1980-04-04 12:00:00
1980094N02179,1980,CARMEN,7.7,180.8,1980-04-04 15:00:00
1980094N02179,1980,CARMEN,8.3,180.4,1980-04-04 18:00:00
1980094N02179,1980,CARMEN,8.8,180.0,1980-04-04 21:00:00
1980094N02179,1980,CARMEN,9.3,179.6,1980-04-05 00:00:00
1980094N02179,1980,CARMEN,9.7,179.1,1980-04-05 03:00:00
1980094N02179,1980,CARMEN,10.2,178.6,1980-04-05 06:00:00
1980094N02179,1980,CARMEN,10.9,178.1,1980-04-05 09:00:00
1980094N02179,1980,CARMEN,11.7,177.8,1980-04-05 12:00:00
1980094N02179,1980,CARMEN,12.4,177.5,1980-04-05 15:00:00
1980094N02179,1980,CARMEN,13.2,177.3,1980-04-05 18:00:00
1980094N02179,1980,CARMEN,13.9,177.2,1980-04-05 21:00:00
1980094N02179,1980,CARMEN,14.6,177.1,1980-04-06 00:00:00
1980094N02179,1980,CARMEN,15.3,177.1,1980-04-06 03:00:00
1980094N02179,1980,CARMEN,16.0,177.2,1980-04-06 06:00:00
1980094N02179,1980,CARMEN,16.5,177.4,1980-04-06 09:00:00
1980094N02179,1980,CARMEN,17.0,177.7,1980-04-06 12:00:00
1980094N02179,1980,CARMEN,17.5,178.0,1980-04-06 15:00:00
1980094N02179,1980,CARMEN,17.9,178.3,1980-04-06 18:00:00
1980094N02179,1980,CARMEN,18.3,178.6,1980-04-06 21:00:00
1980094N02179,1980,CARMEN,18.7,179.0,1980-04-07 00:00:00
1980094N02179,1980,CARMEN,19.1,179.4,1980-04-07 03:00:00
1980094N02179,1980,CARMEN,19.4,179.7,1980-04-07 06:00:00
1980094N02179,1980,CARMEN,19.6,179.9,1980-04-07 09:00:00
1980094N02179,1980,CARMEN,19.7,180.0,1980-04-07 12:00:00
1980094N02179,1980,CARMEN,19.9,180.1,1980-04-07 15:00:00
1980094N02179,1980,CARMEN,20.0,180.3,1980-04-07 18:00:00
1980094N02179,1980,CARMEN,20.2,180.4,1980-04-07 21:00:00
1980094N02179,1980,CARMEN,20.3,180.5,1980-04-08 00:00:00
1980094N02179,1980,CARMEN,20.4,180.6,1980-04-08 03:00:00
1980094N02179,1980,CARMEN,20.6,180.8,1980-04-08 06:00:00
1980094N02179,1980,CARMEN,20.7,181.0,1980-04-08 09:00:00
1980094N02179,1980,CARMEN,20.9,181.3,1980-04-08 12:00:00
1980094N02179,1980,CARMEN,21.1,181.5,1980-04-08 15:00:00
1980094N02179,1980,CARMEN,21.3,181.8,1980-04-08 18:00:00
1980094N02179,1980,CARMEN,21.4,181.9,1980-04-08 21:00:00
1980094N02179,1980,CARMEN,21.5,182.1,1980-04-09 00:00:00
1980094N02179,1980,CARMEN,21.5,182.5,1980-04-09 03:00:00
1980094N02179,1980,CARMEN,21.7,183.1,1980-04-09 06:00:00
1980094N02179,1980,CARMEN,21.8,183.6,1980-04-09 09:00:00
1980094N02179,1980,CARMEN,22.0,184.1,1980-04-09 12:00:00
1980094N02179,1980,CARMEN,22.3,184.5,1980-04-09 15:00:00
1980094N02179,1980,CARMEN,22.5,184.8,1980-04-09 18:00:00
1980094N02179,1980,CARMEN,22.8,185.0,1980-04-09 21:00:00
1980094N02179,1980,CARMEN,22.9,184.8,1980-04-10 00:00:00
1980094N02179,1980,CARMEN,22.9,184.3,1980-04-10 03:00:00
1980094N02179,1980,CARMEN,22.9,183.5,1980-04-10 06:00:00
1980094N02179,1980,CARMEN,22.7,182.6,1980-04-10 09:00:00
1980094N02179,1980,CARMEN,22.5,181.7,1980-04-10 12:00:00
1980094N02179,1980,CARMEN,22.2,181.0,1980-04-10 15:00:00
1980094N02179,1980,CARMEN,21.8,180.4,1980-04-10 18:00:00
1980094N02179,1980,CARMEN,21.4,179.7,1980-04-10 21:00:00
1980094N02179,1980,CARMEN,21.0,179.0,1980-04-11 00:00:00
1980094N02179,1980,CARMEN,20.6,178.2,1980-04-11 03:00:00
1980094N02179,1980,CARMEN,20.2,177.4,1980-04-11 06:00:00
1980094N02179,1980,CARMEN,19.9,176.4,1980-04-11 09:00:00
1980094N02179,1980,CARMEN,19.5,175.3,1980-04-11 12:00:00
1980094N02179,1980,CARMEN,19.2,174.0,1980-04-11 15:00:00
1980094N02179,1980,CARMEN,18.8,172.6,1980-04-11 18:00:00
1980094N02179,1980,CARMEN,18.5,171.1,1980-04-11 21:00:00
1980094N02179,1980,CARMEN,18.2,169.5,1980-04-12 00:00:00
1980133N07149,1980,ELLEN,6.9,148.5,1980-05-11 12:00:00
1980133N07149,1980,ELLEN,6.9,148.2,1980-05-11 15:00:00
1980133N07149,1980,ELLEN,6.9,147.9,1980-05-11 18:00:00
1980133N07149,1980,ELLEN,7.0,147.7,1980-05-11 21:00:00
1980133N07149,1980,ELLEN,7.0,147.4,1980-05-12 00:00:00
1980133N07149,1980,ELLEN,7.0,147.1,1980-05-12 03:00:00
1980133N07149,1980,ELLEN,7.0,146.7,1980-05-12 06:00:00
1980133N07149,1980,ELLEN,7.0,146.3,1980-05-12 09:00:00
1980133N07149,1980,ELLEN,7.0,146.0,1980-05-12 12:00:00
1980133N07149,1980,ELLEN,7.0,145.6,1980-05-12 15:00:00
1980133N07149,1980,ELLEN,7.1,145.3,1980-05-12 18:00:00
1980133N07149,1980,ELLEN,7.1,145.0,1980-05-12 21:00:00
1980133N07149,1980,ELLEN,7.2,144.7,1980-05-13 00:00:00
1980133N07149,1980,ELLEN,7.2,144.5,1980-05-13 03:00:00
1980133N07149,1980,ELLEN,7.3,144.2,1980-05-13 06:00:00
1980133N07149,1980,ELLEN,7.4,144.0,1980-05-13 09:00:00
1980133N07149,1980,ELLEN,7.5,143.8,1980-05-13 12:00:00
1980133N07149,1980,ELLEN,7.7,143.7,1980-05-13 15:00:00
1980133N07149,1980,ELLEN,7.8,143.5,1980-05-13 18:00:00
1980133N07149,1980,ELLEN,8.0,143.3,1980-05-13 21:00:00
1980133N07149,1980,ELLEN,8.1,143.2,1980-05-14 00:00:00
1980133N07149,1980,ELLEN,8.3,143.0,1980-05-14 03:00:00
1980133N07149,1980,ELLEN,8.4,142.7,1980-05-14 06:00:00
1980133N07149,1980,ELLEN,8.5,142.5,1980-05-14 09:00:00
1980133N07149,1980,ELLEN,8.7,142.3,1980-05-14 12:00:00
1980133N07149,1980,ELLEN,8.9,142.2,1980-05-14 15:00:00
1980133N07149,1980,ELLEN,9.1,142.1,1980-05-14 18:00:00
1980133N07149,1980,ELLEN,9.3,142.1,1980-05-14 21:00:00
1980133N07149,1980,ELLEN,9.5,142.0,1980-05-15 00:00:00
1980133N07149,1980,ELLEN,9.9,142.0,1980-05-15 03:00:00
1980133N07149,1980,ELLEN,10.4,142.0,1980-05-15 06:00:00
1980133N07149,1980,ELLEN,10.8,142.0,1980-05-15 09:00:00
1980133N07149,1980,ELLEN,11.1,141.9,1980-05-15 12:00:00
1980133N07149,1980,ELLEN,11.4,141.8,1980-05-15 15:00:00
1980133N07149,1980,ELLEN,11.6,141.7,1980-05-15 18:00:00
1980133N07149,1980,ELLEN,11.9,141.5,1980-05-15 21:00:00
1980133N07149,1980,ELLEN,12.1,141.4,1980-05-16 00:00:00
1980133N07149,1980,ELLEN,12.3,141.3,1980-05-16 03:00:00
1980133N07149,1980,ELLEN,12.4,141.3,1980-05-16 06:00:00
1980133N07149,1980,ELLEN,12.5,141.3,1980-05-16 09:00:00
1980133N07149,1980,ELLEN,12.6,141.3,1980-05-16 12:00:00
1980133N07149,1980,ELLEN,12.7,141.3,1980-05-16 15:00:00
1980133N07149,1980,ELLEN,12.9,141.3,1980-05-16 18:00:00
1980133N07149,1980,ELLEN,13.1,141.3,1980-05-16 21:00:00
1980133N07149,1980,ELLEN,13.3,141.3,1980-05-17 00:00:00
1980133N07149,1980,ELLEN,13.5,141.3,1980-05-17 03:00:00
1980133N07149,1980,ELLEN,13.7,141.2,1980-05-17 06:00:00
1980133N07149,1980,ELLEN,14.1,141.2,1980-05-17 09:00:00
1980133N07149,1980,ELLEN,14.5,141.1,1980-05-17 12:00:00
1980133N07149,1980,ELLEN,14.8,141.0,1980-05-17 15:00:00
1980133N07149,1980,ELLEN,15.0,140.8,1980-05-17 18:00:00
1980133N07149,1980,ELLEN,15.3,140.7,1980-05-17 21:00:00
1980133N07149,1980,ELLEN,15.6,140.4,1980-05-18 00:00:00
1980133N07149,1980,ELLEN,15.9,140.2,1980-05-18 03:00:00
1980133N07149,1980,ELLEN,16.3,140.0,1980-05-18 06:00:00
1980133N07149,1980,ELLEN,16.6,139.7,1980-05-18 09:00:00
1980133N07149,1980,ELLEN,16.9,139.4,1980-05-18 12:00:00
1980133N07149,1980,ELLEN,17.2,139.0,1980-05-18 15:00:00
1980133N07149,1980,ELLEN,17.5,138.7,1980-05-18 18:00:00
1980133N07149,1980,ELLEN,17.8,138.5,1980-05-18 21:00:00
1980133N07149,1980,ELLEN,18.1,138.2,1980-05-19 00:00:00
1980133N07149,1980,ELLEN,18.5,138.0,1980-05-19 03:00:00
1980133N07149,1980,ELLEN,18.9,137.7,1980-05-19 06:00:00
1980133N07149,1980,ELLEN,19.4,137.4,1980-05-19 09:00:00
1980133N07149,1980,ELLEN,20.0,137.2,1980-05-19 12:00:00
1980133N07149,1980,ELLEN,20.6,137.0,1980-05-19 15:00:00
1980133N07149,1980,ELLEN,21.2,136.7,1980-05-19 18:00:00
1980133N07149,1980,ELLEN,21.9,136.2,1980-05-19 21:00:00
1980133N07149,1980,ELLEN,22.5,135.8,1980-05-20 00:00:00
1980133N07149,1980,ELLEN,23.1,135.6,1980-05-20 03:00:00
1980133N07149,1980,ELLEN,23.9,135.6,1980-05-20 06:00:00
1980133N07149,1980,ELLEN,24.7,135.5,1980-05-20 09:00:00
1980133N07149,1980,ELLEN,25.6,135.6,1980-05-20 12:00:00
1980133N07149,1980,ELLEN,26.6,135.7,1980-05-20 15:00:00
1980133N07149,1980,ELLEN,27.7,136.0,1980-05-20 18:00:00
1980133N07149,1980,ELLEN,28.7,136.4,1980-05-20 21:00:00
1980133N07149,1980,ELLEN,29.8,137.1,1980-05-21 00:00:00
1980133N07149,1980,ELLEN,30.7,137.9,1980-05-21 03:00:00
1980133N07149,1980,ELLEN,31.6,138.9,1980-05-21 06:00:00
1980133N07149,1980,ELLEN,32.7,140.1,1980-05-21 09:00:00
1980133N07149,1980,ELLEN,34.0,141.5,1980-05-21 12:00:00
1980133N07149,1980,ELLEN,35.2,142.9,1980-05-21 15:00:00
1980133N07149,1980,ELLEN,36.4,144.2,1980-05-21 18:00:00
1980133N07149,1980,ELLEN,37.1,145.3,1980-05-21 21:00:00
1980133N07149,1980,ELLEN,38.2,146.5,1980-05-22 00:00:00
1980133N07149,1980,ELLEN,39.3,147.6,1980-05-22 03:00:00
1980133N07149,1980,ELLEN,40.4,148.7,1980-05-22 06:00:00
1980133N07149,1980,ELLEN,41.3,150.1,1980-05-22 09:00:00
1980133N07149,1980,ELLEN,42.1,151.6,1980-05-22 12:00:00
1980133N07149,1980,ELLEN,43.0,153.1,1980-05-22 15:00:00
1980133N07149,1980,ELLEN,43.9,154.5,1980-05-22 18:00:00
1980133N07149,1980,ELLEN,44.8,156.0,1980-05-22 21:00:00
1980133N07149,1980,ELLEN,45.8,157.5,1980-05-23 00:00:00
1980133N07149,1980,ELLEN,46.7,159.0,1980-05-23 03:00:00
1980133N07149,1980,ELLEN,47.5,160.5,1980-05-23 06:00:00
1980133N07149,1980,ELLEN,48.2,161.9,1980-05-23 09:00:00
1980133N07149,1980,ELLEN,48.8,163.3,1980-05-23 12:00:00
1980133N07149,1980,ELLEN,49.2,164.6,1980-05-23 15:00:00
1980133N07149,1980,ELLEN,49.4,165.9,1980-05-23 18:00:00
1980133N07149,1980,ELLEN,49.5,166.9,1980-05-23 21:00:00
1980133N07149,1980,ELLEN,49.5,168.0,1980-05-24 00:00:00
1980133N07149,1980,ELLEN,49.3,169.5,1980-05-24 03:00:00
1980133N07149,1980,ELLEN,49.1,171.2,1980-05-24 06:00:00
1980133N07149,1980,ELLEN,49.1,173.0,1980-05-24 09:00:00
1980133N07149,1980,ELLEN,49.1,175.0,1980-05-24 12:00:00
1980133N07149,1980,ELLEN,48.9,177.0,1980-05-24 15:00:00
1980133N07149,1980,ELLEN,49.0,179.0,1980-05-24 18:00:00
1980133N07149,1980,ELLEN,49.4,181.0,1980-05-24 21:00:00
1980133N07149,1980,ELLEN,50.0,183.0,1980-05-25 00:00:00
1980161N09249,1980,AGATHA,8.9,-111.0,1980-06-09 00:00:00
1980161N09249,1980,AGATHA,8.8,-111.4,1980-06-09 03:00:00
1980161N09249,1980,AGATHA,8.7,-111.8,1980-06-09 06:00:00
1980161N09249,1980,AGATHA,8.6,-112.3,1980-06-09 09:00:00
1980161N09249,1980,AGATHA,8.5,-112.8,1980-06-09 12:00:00
1980161N09249,1980,AGATHA,8.4,-113.3,1980-06-09 15:00:00
1980161N09249,1980,AGATHA,8.3,-113.7,1980-06-09 18:00:00
1980161N09249,1980,AGATHA,8.3,-114.2,1980-06-09 21:00:00
1980161N09249,1980,AGATHA,8.4,-114.5,1980-06-10 00:00:00
1980161N09249,1980,AGATHA,8.6,-114.7,1980-06-10 03:00:00
1980161N09249,1980,AGATHA,8.9,-114.7,1980-06-10 06:00:00
1980161N09249,1980,AGATHA,9.2,-114.8,1980-06-10 09:00:00
1980161N09249,1980,AGATHA,9.5,-114.8,1980-06-10 12:00:00
1980161N09249,1980,AGATHA,9.7,-114.8,1980-06-10 15:00:00
1980161N09249,1980,AGATHA,9.9,-114.9,1980-06-10 18:00:00
1980161N09249,1980,AGATHA,10.0,-115.0,1980-06-10 21:00:00
1980161N09249,1980,AGATHA,10.2,-115.2,1980-06-11 00:00:00
1980161N09249,1980,AGATHA,10.5,-115.5,1980-06-11 03:00:00
1980161N09249,1980,AGATHA,10.8,-116.0,1980-06-11 06:00:00
1980161N09249,1980,AGATHA,11.1,-116.4,1980-06-11 09:00:00
1980161N09249,1980,AGATHA,11.4,-116.8,1980-06-11 12:00:00
1980161N09249,1980,AGATHA,11.7,-117.3,1980-06-11 15:00:00
1980161N09249,1980,AGATHA,12.1,-117.8,1980-06-11 18:00:00
1980161N09249,1980,AGATHA,12.5,-118.2,1980-06-11 21:00:00
1980161N09249,1980,AGATHA,12.8,-118.7,1980-06-12 00:00:00
1980161N09249,1980,AGATHA,13.1,-119.3,1980-06-12 03:00:00
1980161N09249,1980,AGATHA,13.4,-119.9,1980-06-12 06:00:00
1980161N09249,1980,AGATHA,13.7,-120.4,1980-06-12 09:00:00
1980161N09249,1980,AGATHA,14.1,-121.0,1980-06-12 12:00:00
1980161N09249,1980,AGATHA,14.5,-121.5,1980-06-12 15:00:00
1980161N09249,1980,AGATHA,14.9,-122.1,1980-06-12 18:00:00
1980161N09249,1980,AGATHA,15.2,-122.6,1980-06-12 21:00:00
1980161N09249,1980,AGATHA,15.5,-123.2,1980-06-13 00:00:00
1980161N09249,1980,AGATHA,15.9,-123.7,1980-06-13 03:00:00
1980161N09249,1980,AGATHA,16.2,-124.3,1980-06-13 06:00:00
1980161N09249,1980,AGATHA,16.4,-124.9,1980-06-13 09:00:00
1980161N09249,1980,AGATHA,16.5,-125.6,1980-06-13 12:00:00
1980161N09249,1980,AGATHA,16.7,-126.2,1980-06-13 15:00:00
1980161N09249,1980,AGATHA,16.9,-126.8,1980-06-13 18:00:00
1980161N09249,1980,AGATHA,16.9,-127.5,1980-06-13 21:00:00
1980161N09249,1980,AGATHA,16.9,-128.2,1980-06-14 00:00:00
1980161N09249,1980,AGATHA,16.9,-128.8,1980-06-14 03:00:00
1980161N09249,1980,AGATHA,17.0,-129.4,1980-06-14 06:00:00
1980161N09249,1980,AGATHA,17.1,-130.1,1980-06-14 09:00:00
1980161N09249,1980,AGATHA,17.2,-130.7,1980-06-14 12:00:00
1980161N09249,1980,AGATHA,17.4,-131.2,1980-06-14 15:00:00
1980161N09249,1980,AGATHA,17.6,-131.7,1980-06-14 18:00:00
1980161N09249,1980,AGATHA,17.8,-132.3,1980-06-14 21:00:00
1980161N09249,1980,AGATHA,17.9,-132.8,1980-06-15 00:00:00
1980161N09249,1980,AGATHA,18.0,-133.3,1980-06-15 03:00:00
1980161N09249,1980,AGATHA,18.1,-133.8,1980-06-15 06:00:00
1980161N09249,1980,AGATHA,18.1,-134.3,1980-06-15 09:00:00
1980161N09249,1980,AGATHA,18.0,-134.8,1980-06-15 12:00:00
1980161N09249,1980,AGATHA,17.9,-135.4,1980-06-15 15:00:00
1980161N09249,1980,AGATHA,17.9,-136.0,1980-06-15 18:00:00
1980169N12250,1980,BLAS,11.8,-109.9,1980-06-16 18:00:00
1980169N12250,1980,BLAS,12.1,-110.2,1980-06-16 21:00:00
1980169N12250,1980,BLAS,12.3,-110.5,1980-06-17 00:00:00
1980169N12250,1980,BLAS,12.5,-110.8,1980-06-17 03:00:00
1980169N12250,1980,BLAS,12.7,-111.1,1980-06-17 06:00:00
1980169N12250,1980,BLAS,12.8,-111.4,1980-06-17 09:00:00
1980169N12250,1980,BLAS,13.0,-111.8,1980-06-17 12:00:00
1980169N12250,1980,BLAS,13.2,-112.2,1980-06-17 15:00:00
1980169N12250,1980,BLAS,13.5,-112.5,1980-06-17 18:00:00
1980169N12250,1980,BLAS,13.9,-112.7,1980-06-17 21:00:00
1980169N12250,1980,BLAS,14.2,-113.0,1980-06-18 00:00:00
1980169N12250,1980,BLAS,14.5,-113.3,1980-06-18 03:00:00
1980169N12250,1980,BLAS,14.7,-113.7,1980-06-18 06:00:00
1980169N12250,1980,BLAS,14.9,-113.9,1980-06-18 09:00:00
1980169N12250,1980,BLAS,15.1,-114.2,1980-06-18 12:00:00
1980169N12250,1980,BLAS,15.3,-114.6,1980-06-18 15:00:00
1980169N12250,1980,BLAS,15.5,-115.0,1980-06-18 18:00:00
1980169N12250,1980,BLAS,15.5,-115.2,1980-06-18 21:00:00
1980169N12250,1980,BLAS,15.5,-115.4,1980-06-19 00:00:00
1980169N12250,1980,BLAS,15.5,-115.7,1980-06-19 03:00:00
1980169N12250,1980,BLAS,15.5,-115.9,1980-06-19 06:00:00
1980169N12250,1980,BLAS,15.5,-116.1,1980-06-19 09:00:00
1980169N12250,1980,BLAS,15.6,-116.3,1980-06-19 12:00:00
1980169N12250,1980,BLAS,15.7,-116.5,1980-06-19 15:00:00
1980169N12250,1980,BLAS,15.7,-116.7,1980-06-19 18:00:00
1980177N13259,1980,CELIA,13.5,-101.4,1980-06-25 06:00:00
1980177N13259,1980,CELIA,13.6,-102.0,1980-06-25 09:00:00
1980177N13259,1980,CELIA,13.8,-102.5,1980-06-25 12:00:00
1980177N13259,1980,CELIA,14.0,-103.0,1980-06-25 15:00:00
1980177N13259,1980,CELIA,14.2,-103.6,1980-06-25 18:00:00
1980177N13259,1980,CELIA,14.4,-104.1,1980-06-25 21:00:00
1980177N13259,1980,CELIA,14.6,-104.7,1980-06-26 00:00:00
1980177N13259,1980,CELIA,14.7,-105.2,1980-06-26 03:00:00
1980177N13259,1980,CELIA,14.8,-105.8,1980-06-26 06:00:00
1980177N13259,1980,CELIA,14.9,-106.4,1980-06-26 09:00:00
1980177N13259,1980,CELIA,15.0,-107.0,1980-06-26 12:00:00
1980177N13259,1980,CELIA,15.1,-107.7,1980-06-26 15:00:00
1980177N13259,1980,CELIA,15.3,-108.3,1980-06-26 18:00:00
1980177N13259,1980,CELIA,15.4,-108.9,1980-06-26 21:00:00
1980177N13259,1980,CELIA,15.6,-109.5,1980-06-27 00:00:00
1980177N13259,1980,CELIA,15.8,-110.1,1980-06-27 03:00:00
1980177N13259,1980,CELIA,16.0,-110.7,1980-06-27 06:00:00
1980177N13259,1980,CELIA,16.2,-111.3,1980-06-27 09:00:00
1980177N13259,1980,CELIA,16.5,-111.8,1980-06-27 12:00:00
1980177N13259,1980,CELIA,16.8,-112.3,1980-06-27 15:00:00
1980177N13259,1980,CELIA,17.2,-112.8,1980-06-27 18:00:00
1980177N13259,1980,CELIA,17.5,-113.3,1980-06-27 21:00:00
1980177N13259,1980,CELIA,17.7,-113.8,1980-06-28 00:00:00
1980177N13259,1980,CELIA,18.0,-114.3,1980-06-28 03:00:00
1980177N13259,1980,CELIA,18.2,-114.7,1980-06-28 06:00:00
1980177N13259,1980,CELIA,18.4,-115.1,1980-06-28 09:00:00
1980177N13259,1980,CELIA,18.6,-115.6,1980-06-28 12:00:00
1980177N13259,1980,CELIA,18.9,-116.1,1980-06-28 15:00:00
1980177N13259,1980,CELIA,19.2,-116.6,1980-06-28 18:00:00
1980177N13259,1980,CELIA,19.5,-117.1,1980-06-28 21:00:00
1980177N13259,1980,CELIA,19.8,-117.5,1980-06-29 00:00:00
1980177N13259,1980,CELIA,20.1,-117.9,1980-06-29 03:00:00
1980177N13259,1980,CELIA,20.5,-118.3,1980-06-29 06:00:00
1980177N13259,1980,CELIA,21.0,-118.8,1980-06-29 09:00:00
1980177N13259,1980,CELIA,21.4,-119.2,1980-06-29 12:00:00
1980177N13259,1980,CELIA,21.8,-119.6,1980-06-29 15:00:00
1980177N13259,1980,CELIA,22.1,-119.9,1980-06-29 18:00:00
1980183N13250,1980,DARBY,13.2,-110.4,1980-07-01 00:00:00
1980183N13250,1980,DARBY,13.1,-111.1,1980-07-01 03:00:00
1980183N13250,1980,DARBY,13.0,-111.8,1980-07-01 06:00:00
1980183N13250,1980,DARBY,12.8,-112.6,1980-07-01 09:00:00
1980183N13250,1980,DARBY,12.7,-113.4,1980-07-01 12:00:00
1980183N13250,1980,DARBY,12.6,-114.1,1980-07-01 15:00:00
1980183N13250,1980,DARBY,12.6,-114.8,1980-07-01 18:00:00
1980183N13250,1980,DARBY,12.7,-115.8,1980-07-01 21:00:00
1980183N13250,1980,DARBY,12.8,-116.7,1980-07-02 00:00:00
1980183N13250,1980,DARBY,12.8,-117.6,1980-07-02 03:00:00
1980183N13250,1980,DARBY,12.8,-118.4,1980-07-02 06:00:00
1980183N13250,1980,DARBY,13.0,-119.2,1980-07-02 09:00:00
1980183N13250,1980,DARBY,13.3,-120.0,1980-07-02 12:00:00
1980183N13250,1980,DARBY,13.9,-120.7,1980-07-02 15:00:00
1980183N13250,1980,DARBY,14.4,-121.3,1980-07-02 18:00:00
1980183N13250,1980,DARBY,14.5,-122.2,1980-07-02 21:00:00
1980183N13250,1980,DARBY,14.4,-123.1,1980-07-03 00:00:00
1980183N13250,1980,DARBY,14.4,-124.0,1980-07-03 03:00:00
1980183N13250,1980,DARBY,14.4,-125.0,1980-07-03 06:00:00
1980183N13250,1980,DARBY,14.4,-125.9,1980-07-03 09:00:00
1980183N13250,1980,DARBY,14.4,-126.7,1980-07-03 12:00:00
1980183N13250,1980,DARBY,14.4,-127.5,1980-07-03 15:00:00
1980183N13250,1980,DARBY,14.4,-128.4,1980-07-03 18:00:00
1980194N16252,1980,ESTELLE,15.6,-107.7,1980-07-12 00:00:00
1980194N16252,1980,ESTELLE,15.7,-108.2,1980-07-12 03:00:00
1980194N16252,1980,ESTELLE,15.7,-108.8,1980-07-12 06:00:00
1980194N16252,1980,ESTELLE,15.8,-109.5,1980-07-12 09:00:00
1980194N16252,1980,ESTELLE,15.9,-110.1,1980-07-12 12:00:00
1980194N16252,1980,ESTELLE,16.2,-110.7,1980-07-12 15:00:00
1980194N16252,1980,ESTELLE,16.5,-111.3,1980-07-12 18:00:00
1980194N16252,1980,ESTELLE,16.9,-111.9,1980-07-12 21:00:00
1980194N16252,1980,ESTELLE,17.2,-112.5,1980-07-13 00:00:00
1980200N13249,1980,FRANK,13.1,-111.0,1980-07-18 06:00:00
1980200N13249,1980,FRANK,13.3,-111.3,1980-07-18 09:00:00
1980200N13249,1980,FRANK,13.5,-111.5,1980-07-18 12:00:00
1980200N13249,1980,FRANK,13.7,-111.7,1980-07-18 15:00:00
1980200N13249,1980,FRANK,14.0,-111.9,1980-07-18 18:00:00
1980200N13249,1980,FRANK,14.3,-112.1,1980-07-18 21:00:00
1980200N13249,1980,FRANK,14.6,-112.3,1980-07-19 00:00:00
1980200N13249,1980,FRANK,14.8,-112.5,1980-07-19 03:00:00
1980200N13249,1980,FRANK,15.0,-112.8,1980-07-19 06:00:00
1980200N13249,1980,FRANK,15.2,-113.1,1980-07-19 09:00:00
1980200N13249,1980,FRANK,15.4,-113.4,1980-07-19 12:00:00
1980200N13249,1980,FRANK,15.6,-113.6,1980-07-19 15:00:00
1980200N13249,1980,FRANK,15.8,-113.8,1980-07-19 18:00:00
1980200N13249,1980,FRANK,16.1,-114.1,1980-07-19 21:00:00
1980200N13249,1980,FRANK,16.3,-114.3,1980-07-20 00:00:00
1980200N13249,1980,FRANK,16.5,-114.5,1980-07-20 03:00:00
1980200N13249,1980,FRANK,16.6,-114.7,1980-07-20 06:00:00
1980200N13249,1980,FRANK,16.7,-115.0,1980-07-20 09:00:00
1980200N13249,1980,FRANK,16.9,-115.2,1980-07-20 12:00:00
1980200N13249,1980,FRANK,17.1,-115.5,1980-07-20 15:00:00
1980200N13249,1980,FRANK,17.3,-115.7,1980-07-20 18:00:00
1980200N13249,1980,FRANK,17.6,-115.8,1980-07-20 21:00:00
1980200N13249,1980,FRANK,17.8,-116.0,1980-07-21 00:00:00
1980200N13249,1980,FRANK,18.0,-116.2,1980-07-21 03:00:00
1980200N13249,1980,FRANK,18.2,-116.4,1980-07-21 06:00:00
1980200N13249,1980,FRANK,18.3,-116.8,1980-07-21 09:00:00
1980200N13249,1980,FRANK,18.4,-117.1,1980-07-21 12:00:00
1980200N13249,1980,FRANK,18.4,-117.4,1980-07-21 15:00:00
1980200N13249,1980,FRANK,18.4,-117.6,1980-07-21 18:00:00
1980200N13249,1980,FRANK,18.4,-118.0,1980-07-21 21:00:00
1980200N13249,1980,FRANK,18.4,-118.3,1980-07-22 00:00:00
1980200N13249,1980,FRANK,18.4,-118.6,1980-07-22 03:00:00
1980200N13249,1980,FRANK,18.5,-118.8,1980-07-22 06:00:00
1980200N13249,1980,FRANK,18.5,-119.1,1980-07-22 09:00:00
1980200N13249,1980,FRANK,18.5,-119.5,1980-07-22 12:00:00
1980210N17251,1980,GEORGETTE,16.8,-109.0,1980-07-28 06:00:00
1980210N17251,1980,GEORGETTE,16.9,-109.5,1980-07-28 09:00:00
1980210N17251,1980,GEORGETTE,17.1,-110.0,1980-07-28 12:00:00
1980210N17251,1980,GEORGETTE,17.3,-110.5,1980-07-28 15:00:00
1980210N17251,1980,GEORGETTE,17.6,-111.0,1980-07-28 18:00:00
1980210N17251,1980,GEORGETTE,17.8,-111.5,1980-07-28 21:00:00
1980210N17251,1980,GEORGETTE,18.1,-111.9,1980-07-29 00:00:00
1980210N17251,1980,GEORGETTE,18.3,-112.4,1980-07-29 03:00:00
